Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,60
design__inferred_latch__count,0
design__instance__count,31954
design__instance__area,174937
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,218
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1341
design__max_cap_violation__count__corner:nom_tt_025C_1v80,6
power__internal__total,0.001324943033978343
power__switching__total,0.002309498144313693
power__leakage__total,1.569444663118702E-7
power__total,0.0036345981061458588
clock__skew__worst_hold__corner:nom_tt_025C_1v80,2.438229687164678
clock__skew__worst_setup__corner:nom_tt_025C_1v80,2.938229742675831
timing__hold__ws__corner:nom_tt_025C_1v80,0.2737714576973374
timing__setup__ws__corner:nom_tt_025C_1v80,57.004074185548696
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.273771
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,90.037247
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1534
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1341
design__max_cap_violation__count__corner:nom_ss_100C_1v60,17
clock__skew__worst_hold__corner:nom_ss_100C_1v60,4.698594535326687
clock__skew__worst_setup__corner:nom_ss_100C_1v60,5.19859459083784
timing__hold__ws__corner:nom_ss_100C_1v60,0.834062398310507
timing__setup__ws__corner:nom_ss_100C_1v60,54.20690183485454
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.834062
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,81.510536
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,8
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1341
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,6
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,1.5165473750496685
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,2.0165474305608213
timing__hold__ws__corner:nom_ff_n40C_1v95,0.06676615005397349
timing__setup__ws__corner:nom_ff_n40C_1v95,58.050231153991376
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.066766
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,93.443390
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1862
design__max_fanout_violation__count,1341
design__max_cap_violation__count,30
clock__skew__worst_hold,4.940712867562935
clock__skew__worst_setup,1.9305948497418566
timing__hold__ws,0.06676615005397349
timing__setup__ws,54.0470012930768
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.066766
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,80.702644
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 305.0 1000.0
design__core__bbox,5.52 10.88 299.46 987.36
flow__warnings__count,1
flow__errors__count,0
design__io,107
design__die__area,305000
design__core__area,287027
design__instance__count__stdcell,31954
design__instance__area__stdcell,174937
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.609479
design__instance__utilization__stdcell,0.609479
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,105
design__io__hpwl,6860855
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,566778
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,671
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
route__net,13292
route__net__special,2
route__drc_errors__iter:1,20519
route__wirelength__iter:1,775437
route__drc_errors__iter:2,9024
route__wirelength__iter:2,767920
route__drc_errors__iter:3,8462
route__wirelength__iter:3,765672
route__drc_errors__iter:4,1826
route__wirelength__iter:4,764562
route__drc_errors__iter:5,252
route__wirelength__iter:5,764455
route__drc_errors__iter:6,59
route__wirelength__iter:6,764441
route__drc_errors__iter:7,3
route__wirelength__iter:7,764434
route__drc_errors__iter:8,2
route__wirelength__iter:8,764426
route__drc_errors__iter:9,0
route__wirelength__iter:9,764420
route__drc_errors,0
route__wirelength,764420
route__vias,146598
route__vias__singlecut,146598
route__vias__multicut,0
design__disconnected_pin__count,28
design__critical_disconnected_pin__count,0
route__wirelength__max,1264.49
timing__unannotated_net__count__corner:nom_tt_025C_1v80,126
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,126
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,126
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,109
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1341
design__max_cap_violation__count__corner:min_tt_025C_1v80,3
clock__skew__worst_hold__corner:min_tt_025C_1v80,2.308179490649646
clock__skew__worst_setup__corner:min_tt_025C_1v80,2.808179546160799
timing__hold__ws__corner:min_tt_025C_1v80,0.27908431910963666
timing__setup__ws__corner:min_tt_025C_1v80,57.08588963117169
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.279084
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
