Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,64
design__inferred_latch__count,0
design__instance__count,32734
design__instance__area,198505
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,30
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1278
design__max_cap_violation__count__corner:nom_tt_025C_1v80,2
power__internal__total,0.0017932800110429525
power__switching__total,0.0020423319656401873
power__leakage__total,1.878157149803883E-7
power__total,0.0038357998710125685
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.567024332425652
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5292494370336439
timing__hold__ws__corner:nom_tt_025C_1v80,0.27914493728849554
timing__setup__ws__corner:nom_tt_025C_1v80,57.13281032205462
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.279145
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,89.986977
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,739
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1278
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.7947167593388356
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7288998499977629
timing__hold__ws__corner:nom_ss_100C_1v60,0.8299321464974849
timing__setup__ws__corner:nom_ss_100C_1v60,54.03054512285118
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.829932
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,81.095657
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1278
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,2
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.47174154806616353
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4442404625455705
timing__hold__ws__corner:nom_ff_n40C_1v95,0.08283007847389627
timing__setup__ws__corner:nom_ff_n40C_1v95,58.16630897130173
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.082830
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,93.600250
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,960
design__max_fanout_violation__count,1278
design__max_cap_violation__count,5
clock__skew__worst_hold,-0.46233609915801793
clock__skew__worst_setup,0.43657675932329243
timing__hold__ws,0.0802384847942185
timing__setup__ws,53.971150853889206
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.080238
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,80.516319
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 800.0 400.0
design__core__bbox,5.52 10.88 794.42 388.96
flow__warnings__count,1
flow__errors__count,0
design__io,425
design__die__area,320000
design__core__area,298267
design__instance__count__stdcell,32734
design__instance__area__stdcell,198505
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.665528
design__instance__utilization__stdcell,0.665528
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,423
design__io__hpwl,41882830
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,555838
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1019
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
route__net,15114
route__net__special,2
route__drc_errors__iter:1,21261
route__wirelength__iter:1,719511
route__drc_errors__iter:2,8758
route__wirelength__iter:2,712989
route__drc_errors__iter:3,7896
route__wirelength__iter:3,709583
route__drc_errors__iter:4,1373
route__wirelength__iter:4,707208
route__drc_errors__iter:5,158
route__wirelength__iter:5,707084
route__drc_errors__iter:6,4
route__wirelength__iter:6,707060
route__drc_errors__iter:7,0
route__wirelength__iter:7,707055
route__drc_errors,0
route__wirelength,707055
route__vias,152662
route__vias__singlecut,152662
route__vias__multicut,0
design__disconnected_pin__count,163
design__critical_disconnected_pin__count,0
route__wirelength__max,1050.09
timing__unannotated_net__count__corner:nom_tt_025C_1v80,456
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,456
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,456
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,12
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1278
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5541935955894834
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5190741317028745
timing__hold__ws__corner:min_tt_025C_1v80,0.27874725538982764
timing__setup__ws__corner:min_tt_025C_1v80,57.15860302409217
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.278747
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,90.345306
